Name	mmX(row1)	mmY(row1)	mmZ(row1)	mmX(row2)	mmY(row2)	mmZ(row2)	mmX(row3)	mmY(row3)	mmZ(row3)	mmX(row4)	mmY(row4)	mmZ(row4)	mmX(row5)	mmY(row5)	mmZ(row5)	mmX(row6)	mmY(row6)	mmZ(row6)	mmX(row7)	mmY(row7)	mmZ(row7)	mmX(row8)	mmY(row8)	mmZ(row8)	mmX(row9)	mmY(row9)	mmZ(row9)	mmX(row10)	mmY(row10)	mmZ(row10)	mmX(row11)	mmY(row11)	mmZ(row11)	mmX(row12)	mmY(row12)	mmZ(row12)	mmX(row13)	mmY(row13)	mmZ(row13)	mmX(row14)	mmY(row14)	mmZ(row14)	mmX(row15)	mmY(row15)	mmZ(row15)	mmX(row16)	mmY(row16)	mmZ(row16)
E4SA029.csv	-166.1664	-71.02256	-309.5	-149.8382	-55.43661	-316.7	-135.7367	-49.4991	-329.5	-57.06475	-64.34287	-391.9	-37.02567	-66.56943	-393.5	-19.95535	-67.31162	-395.1	-0.65846	-62.1163	-395.1	68.36502	-45.78817	-338.3	77.27128	-46.53035	-325.5	99.53692	-62.85849	-314.3	20.86499	73.7041	-255.9	19.38061	69.25098	-269.5	17.15405	70.73535	-279.1	-88.97883	74.44629	-276.7	-90.46321	71.47754	-266.3	-85.26789	78.15723	-255.1
E4SA030.csv	-115.0625	-28.4375	-353.25	-108.9375	-3.0625	-372.15	-98.4375	-1.3125	-385.65	-20.5625	-11.8125	-447.75	-3.9375	-15.3125	-448.65	10.0625	-16.1875	-448.65	27.5625	-14.4375	-448.65	107.1875	-9.1875	-392.85	114.1875	-14.4375	-373.95	121.1875	-40.6875	-353.25	50.3125	119.4375	-317.25	55.5625	112.4375	-333.45	60.8125	109.8125	-352.35	-40.6875	118.5625	-348.75	-38.9375	120.3125	-333.45	-29.3125	125.5625	-320.85
E4SA031.csv	-116.5703	-42.39218	-281.4	-106.0234	-26.22031	-283.2	-97.58594	-22.70468	-296.7	-25.86719	-36.06406	-341.7	-11.10156	-37.47031	-342.6	12.80469	-36.06406	-340.8	30.38281	-31.14218	-339.9	100.6953	-17.07968	-292.2	110.5391	-19.89218	-272.4	123.8984	-35.36093	-265.2	51.47656	111.5922	-230.1	59.21094	101.0453	-247.2	58.50781	99.63907	-261.6	-56.80469	93.31094	-267	-54.69531	98.93594	-249.9	-49.07031	108.7797	-235.5
E4SA032.csv	-111.8891	-8.551562	-403.1	-102.0453	4.104688	-416.7	-95.01406	10.43281	-434.3	-20.48281	-20.50469	-487.1	-6.420312	-22.61406	-487.9	9.751562	-23.31719	-489.5	23.11094	-24.72344	-486.3	105.3766	-0.817187	-439.9	111.0016	-2.223438	-425.5	120.8453	-19.80156	-410.3	59.67344	125.7453	-405.5	63.89219	118.0109	-415.9	62.48594	113.7922	-429.5	-40.87344	118.0109	-425.5	-41.57656	120.8234	-413.5	-35.95156	127.1516	-404.7
E4SA033.csv	-108.4168	-34.10033	-463.25	-104.6082	-17.34251	-477.25	-100.7996	-8.963602	-499.25	-26.15111	-3.631569	-544.25	-11.67845	-2.86985	-546.25	2.032496	-0.584693	-545.25	16.50516	0.177025	-545.25	82.77471	10.07937	-494.25	88.10674	3.223902	-474.25	97.24737	-16.58079	-459.25	21.07547	109.1028	-427.25	30.2161	105.2943	-440.25	33.26297	101.4856	-458.25	-66.52222	93.86846	-460.25	-66.52222	97.67705	-441.25	-58.90502	103.7708	-423.25
E4SA034.csv	-132.8925	-43.38549	-353.05	-127.3418	-29.90501	-366.55	-113.8613	-22.76829	-382.75	-40.11518	-33.86986	-445.75	-24.2558	-34.66283	-449.35	-7.603452	-33.86986	-448.45	5.877021	-31.49095	-449.35	81.20908	-13.25267	-395.35	90.7247	-17.21751	-381.85	107.3771	-33.86986	-370.15	26.49422	94.59112	-332.35	29.66609	89.04034	-344.95	28.87312	87.4544	-357.55	-67.8691	85.86846	-355.75	-69.45503	85.07549	-338.65	-67.07613	90.62627	-325.15
E4SA035.csv	-132.5766	-43.94531	-254.6	-117.1078	-26.36719	-271.4	-110.7797	-26.36719	-286.6	-49.60782	-47.46094	-339.4	-36.24844	-48.16406	-345	-13.74844	-48.86719	-345	-1.092193	-49.57031	-339.4	68.51718	-33.39844	-298.6	76.25156	-31.99219	-283.4	100.1578	-53.08594	-264.2	35.47031	79.10156	-231.4	40.39218	72.07031	-251.4	36.87656	71.36719	-269	-62.26407	72.07031	-259.4	-60.15469	75.58594	-243.4	-53.82657	81.91406	-223.4
E4SA036.csv	-133.5266	-52.04531	-246.5	-125.0891	-41.49844	-260	-120.1672	-37.27969	-277.1	-52.66719	-45.71719	-328.4	-37.19844	-47.12344	-328.4	-16.80781	-46.42031	-332	0.067188	-42.90469	-331.1	63.34844	-25.32656	-278	67.56718	-24.62344	-264.5	78.81718	-36.57656	-241.1	16.94219	91.39219	-227.6	14.12969	85.76719	-241.1	13.42656	82.95469	-250.1	-94.15157	73.11094	-252.8	-96.26094	77.32969	-242.9	-94.85469	85.76719	-233
E4SA037.csv	-151.7387	-35.59576	-284.25	-141.1918	-21.53326	-294.15	-135.9184	-18.01764	-306.75	-48.02779	-30.32232	-366.15	-36.60201	-35.59576	-362.55	-18.14499	-35.59576	-359.85	2.948757	-28.56451	-354.45	74.14014	-20.65435	-300.45	81.17139	-26.8067	-286.05	92.59717	-39.99029	-279.75	24.0425	97.99796	-228.45	29.31594	91.84561	-246.45	27.55813	85.69327	-259.95	-74.39497	88.32999	-262.65	-77.9106	93.60342	-246.45	-73.51607	96.24014	-228.45
E4SA038.csv	-81.07478	-8.239621	-324.75	-69.07087	6.336553	-331.95	-57.92439	2.906865	-346.35	9.811951	-20.24353	-402.15	20.10102	-27.1029	-403.05	34.67719	-31.39001	-403.05	45.82367	-32.24744	-403.05	116.1323	-44.25135	-345.45	122.1342	-41.67908	-329.25	126.4213	-62.25721	-315.75	96.41157	95.50844	-300.45	100.6987	86.0768	-311.25	100.6987	83.50453	-323.85	14.95648	104.0827	-327.45	14.95648	106.6549	-311.25	23.5307	114.3717	-299.55
